Rank,Country,Population,GDP_Rank,GDP_USD_millions,GDP_USD_billions,Life_Expectancy,Life_Expectancy_Male,Life_Expectancy_Female,GDP_per_Capita,Log_Population,Log_GDP,Log_GDP_per_Capita,Population_Category,GDP_Category,Development_Level,Life_Expectancy_Gender_Gap,Wealth_Score
55,Australia,27614400.0,15.0,1829508.0,1829.508,83.3,81.2,85.4,66251.9555014775,17.133847969972265,14.419558182806178,11.101235354196469,Very Large,Very High,Developed,4.200000000000003,0.0015643119686459253
56,Niger,27522750.0,129.0,22969.0,22.969,62.4,61.2,63.6,834.5459665186073,17.130523529696173,10.041944295683145,6.728085363300785,Very Large,Medium,Developing,2.3999999999999986,1.6614602148831516e-05
57,North Korea,25950000.0,,,,72.3,68.6,76.2,,17.071682206111817,,,Very Large,,,7.6000000000000085,
58,Syria,25620427.0,,,,72.7,69.9,75.6,,17.058900559991997,,,Very Large,,,5.699999999999989,
59,Burkina Faso,24070553.0,121.0,26866.0,26.866,61.6,60.2,63.1,1116.1355536783888,16.99649982569713,10.198654046697536,7.0185231468346325,Very Large,Medium,Developing,2.8999999999999986,2.131674431135355e-05
60,Taiwan,23299132.0,22.0,884387.0,884.387,80.7,77.7,83.8,37957.93766051027,16.96392670754318,13.692651159352344,10.544260266571198,Very Large,Very High,Developed,6.099999999999994,0.0008121696595966307
61,Mali,22395489.0,123.0,25591.0,25.591,59.3,57.9,60.7,1142.6854756330617,16.92437015726808,10.150035081629355,7.042011200251309,Very Large,Medium,Developing,2.8000000000000043,2.0930278672032767e-05
62,Sri Lanka,21781800.0,79.0,989642024.0,989642.024,77.0,73.8,80.4,45434354.5528836,16.896585362592194,20.71285384479406,17.63177910707534,Large,Very High,Developed,6.6000000000000085,0.9410053341751798
63,Malawi,20734262.0,147.0,14975.0,14.975,64.3,61.5,67.2,722.2345314243641,16.847298107264347,9.614204198717374,6.583733556035911,Large,Medium,Developing,5.700000000000003,1.1485617232983961e-05
64,Kazakhstan,20478879.0,50.0,300052.0,300.052,73.4,68.8,77.9,14651.778547058166,16.834904669140165,12.611714404701287,9.592385258376899,Large,High,Emerging,9.100000000000009,0.00029072305651221624
65,Chile,20206953.0,46.0,347174.0,347.174,80.2,77.6,82.9,17180.91787514921,16.821537360554185,12.75758425456758,9.751612823483937,Large,High,Emerging,5.300000000000011,0.0003390797380348528
66,Zambia,19693423.0,116.0,29369.0,29.369,63.9,61.6,66.3,1491.3100683410903,16.795795330875624,10.287729024192666,7.308080579775944,Large,Medium,Developing,4.699999999999996,2.6222973116018884e-05
67,Somalia,19655000.0,154.0,12944.0,12.944,57.5,55.8,59.3,658.5601628084457,16.793842367715737,9.468464892185638,6.491573192876763,Large,Low,Developing,3.5,9.841433532316047e-06
68,Chad,19340757.0,130.0,21592.0,21.592,54.2,52.8,55.7,1116.3989082743763,16.777725240602976,9.980124467074832,7.01875886000146,Large,Medium,Developing,2.9000000000000057,1.8654700544193152e-05
69,Romania,19036031.0,41.0,422508.0,422.508,75.6,72.0,79.3,22195.172932845086,16.76184416224715,12.953966027327635,10.007675162587052,Large,Very High,Developed,7.299999999999997,0.00042581182593816086
70,Senegal,18593258.0,109.0,36839.0,36.839,68.1,66.1,70.2,1981.3095693073265,16.738309653638826,10.514339490369244,7.592017893060453,Large,Medium,Developing,4.1000000000000085,3.475324364638651e-05
71,Netherlands,18131238.0,18.0,1320635.0,1320.635,82.3,80.6,84.0,72837.552515719,16.713146920164316,14.093623996707263,11.196000661536994,Large,Very High,Developed,3.4000000000000057,0.0013711354960243304
72,Ecuador,18103660.0,65.0,130529.0,130.529,77.0,74.2,80.0,7210.089009625678,16.71162474097658,11.779358364382835,8.883375260430327,Large,High,Emerging,5.799999999999997,0.00013284167272077272
73,Guatemala,18079810.0,69.0,120850.0,120.85,74.3,71.4,77.4,6684.2516597243,16.710306459333843,11.702313660818122,8.807659134261174,Large,High,Emerging,6.0,0.00012284748205203843
74,Cambodia,17577760.0,98.0,48802.0,48.802,69.8,67.3,72.5,2776.3492049043793,16.682145081473163,10.79554706536154,7.92925222837635,Large,Medium,Developing,5.200000000000003,4.851439799296796e-05
75,Zimbabwe,17073087.0,96.0,53310.0,53.31,61.5,59.8,63.3,3122.4581705698565,16.653013980577345,10.88389796784759,8.046696054998222,Large,Medium,Developing,3.5,5.4151494765028444e-05
76,South Sudan,15786898.0,174.0,4979.0,4.979,57.8,56.5,59.2,315.3881148785531,16.57469097682443,8.513185170018698,5.756969671593004,Large,Low,Developing,2.700000000000003,2.486252689894519e-06
77,Guinea,14363931.0,120.0,27515.0,27.515,61.6,60.2,63.1,1915.5619725547276,16.48023090025954,10.222522932645905,7.55828822061647,Large,Medium,Developing,2.8999999999999986,2.9404270269814306e-05
78,Rwanda,14104969.0,148.0,14771.0,14.771,69.0,66.9,71.2,1047.2196004117413,16.46203777551062,9.600488775972455,6.954848385307666,Large,Low,Developing,4.299999999999997,1.4537016033264028e-05
79,Benin,13224860.0,127.0,24402.0,24.402,61.8,60.3,63.4,1845.1613098361722,16.397609025256425,10.102461354543133,7.5208637946883,Large,Medium,Developing,3.1000000000000014,2.71481354729808e-05
80,Burundi,12332788.0,170.0,7025.0,7.025,61.7,60.1,63.4,569.6197810259935,16.32777204583127,8.857372832825773,6.3467231052412405,Large,Low,Developing,3.299999999999997,5.987658597065912e-06
81,Tunisia,11972169.0,93.0,59069.0,59.069,76.7,74.9,78.6,4933.8595203592595,16.298095347653444,10.986478460301282,8.504079485476453,Large,High,Emerging,3.6999999999999886,7.46434934402435e-05
82,Belgium,11924322.0,23.0,716980.0,716.98,81.7,79.3,84.0,60127.527586054784,16.294090821638648,13.482804619927995,11.004239676556928,Large,Very High,Developed,4.700000000000003,0.0009427791245858561
83,Haiti,11867032.0,114.0,30908.0,30.908,64.0,61.9,66.2,2604.526557272282,16.289274777464172,10.338802682613178,7.865390067071179,Large,Medium,Developing,4.300000000000004,3.780595880461805e-05
84,Jordan,11734000.0,95.0,56157.0,56.157,74.5,73.0,76.2,4785.836032043634,16.27800125369037,10.935924425529938,8.473624936047072,Large,High,Emerging,3.200000000000003,7.173546484983185e-05
85,Bolivia,11365333.0,94.0,57086.0,57.086,71.5,69.3,73.8,5022.818073170403,16.24607840331033,10.952331698970116,8.521945495941903,Large,High,Emerging,4.5,7.450509182515522e-05
86,United Arab Emirates,11294243.0,29.0,569097.0,569.097,78.7,77.5,80.5,50388.23761805019,16.23980377337326,13.251807930264183,10.827532891932291,Large,Very High,Developed,3.0,0.0007735293376027
87,Czech Republic,10897178.0,43.0,383384.0,383.384,79.4,76.5,82.3,35181.95261195146,16.204014506363524,12.85679498519766,10.468316943477847,Large,Very High,Developed,5.799999999999997,0.0005321012105520641
88,Dominican Republic,10771504.0,66.0,129748.0,129.748,74.1,71.6,76.7,12045.485941424708,16.192414779388415,11.77335709386934,9.39652827327023,Large,High,Emerging,5.1000000000000085,0.00017938184812130685
